Manzara sahane evet ama servis rezalet.	SERVICE#GENERAL AMBIENCE#GENERAL
Duyduğum kadarıyla suda değil sütte bekletiyorlarmış.	FOOD#STYLE_OPTIONS
Yanında turşu, cacık veya yoğurtla harika oluyor.	FOOD#STYLE_OPTIONS
Pilavı da çok lezzetli, mis gibi tereyağ kokuyor.	FOOD#QUALITY FOOD#QUALITY
Finali sütlaçla yapmanızı tavsiye ediyorum.	FOOD#QUALITY
Sütlacı da enfes.	FOOD#QUALITY
Hard Rock Cafe'de hiç sıra beklemeden oturmaya alışık değiliz ki biz, Avrupa veya Amerika'dakilerle aynı duyguyu vermiyor bu sebeple ama lezzet tabii yine aynı.	FOOD#QUALITY SERVICE#GENERAL
Atıştırmalık Jumbo Combo pek yummy!	FOOD#QUALITY
Deniz ürünleri çok başarılı.	FOOD#QUALITY
Manzarası zaten mükemmel.	AMBIENCE#GENERAL
Bütün istanbul'un güzelliğini, yoğunluğunu hissediyorsun.	AMBIENCE#GENERAL
Onun dışında pek öğrenci mekanı değil.	AMBIENCE#GENERAL
Özel günlerde gidilecek, küçük kutlamalar yapılacak bir yer	AMBIENCE#GENERAL
Rahatça sohbet edebilmek istiyorsanız, orta mükemmel.	AMBIENCE#GENERAL
Çalan müzik tam kıvamında, rahatsız etmiyor.	AMBIENCE#GENERAL
Yemekleri çok lezzetli, manzara mükemmel.	AMBIENCE#GENERAL FOOD#QUALITY
ancak hesap biraz abartılı geliyor, balık yemeden kişi başı 100 liradan fazla ödedik, itiraz etmek gerekir.	FOOD#PRICES
Kalabalik zamanlarda servis fazlasiyla aksiyor.	SERVICE#GENERAL
Bosken soylemis oldugum makarna ne kadar hizli geldiyse, mekanin dolmasiyla arkadasimin soylemis oldugu siparis unutuldu, defalarca hatirlatma yapmamiz gerekti.	SERVICE#GENERAL
Ayrica masalarin fazla ic ice olmasi zaman zaman rahatsiz olmaniza neden olabiliyor	AMBIENCE#GENERAL
Kış aylarında içerideki sıcak ve loş ışıklı ortamında güzel yemekler yiyebilir, yazın da dışarıda o harika çilekli magnoliasından tadabilirsiniz.	AMBIENCE#GENERAL FOOD#QUALITY FOOD#QUALITY
İçinizi serinletecek enfes bir tat.	FOOD#QUALITY
Garsonlar suratsiz.	SERVICE#GENERAL
Bu kadar methedilmeyi hakketmiyor.	RESTAURANT#GENERAL
Kasarli köftenin içinde kasar olmayan ve köfte ustasi geçinen bir yer!	FOOD#STYLE_OPTIONS RESTAURANT#GENERAL
Açiklama:	
kasarla köfte yoguruluyormus.	
Isletme sahibi kaba.	SERVICE#GENERAL
Bizim kasarli köfte tanimimiz böyle diyor sadece!	FOOD#STYLE_OPTIONS
Müsteri memnuniyeti sifir!	RESTAURANT#GENERAL
Yılların Sampi'si, canım pide istediğimde eve sipariş için tercih ettiğim yerlerdendir.	FOOD#QUALITY
O zaman keşke başlangıçlarda menüde yer almasa!	FOOD#STYLE_OPTIONS
Beşiktaş'ta tam otobüs duraklarının arkasında olmasından dolayı ulaşımı çok kolay ve fiyatları elbette çok makul.	RESTAURANT#GENERAL LOCATION#GENERAL
İlk defa bir şubesine gidip oturup yemek yedim.	
Ben çıtır pide sevenlerdenim, dolayısıyla siparişi verirken özellikle rica ettim ve gerçekten de çitir çitir pide geldi.	FOOD#STYLE_OPTIONS
Ancak maalesef birlikte gittiğim arkadaşlarım hiç sevmezmiş çıtır pideyi ve tabii ki onların ki de çıtır geldi.	FOOD#STYLE_OPTIONS
Evet suçluyum!	
Tek ayak üstünde köşeme çekiliyorum!	
Neyse tadı paket servisten elbette çok daha iyidi neticede beklemeden yeme imkanınız var.	FOOD#QUALITY
Malzemesi bol, porsiyonu tam kıvamındaydı.	FOOD#STYLE_OPTIONS FOOD#STYLE_OPTIONS
Başlangıç olarak Lahmacun sipariş etmek istemiştik, ancak garson Lahmacunun Pide'den daha uzun sürdüğünü belirtti, çünkü hamuru taze açılıyormuş.	
Beşiktaş'ın göbeğinde.	LOCATION#GENERAL
Çok da pide delisi olmayan, başka bir şubesine bugüne kadar da hiç gitmemiş biri.	
Ve deneyim maalesef çok da olumlu olmadı.	RESTAURANT#GENERAL
Pide lezzeti lafım yok, ama sipariş verirken bir arkadaşımızın kenarlarını çıtır çıtır istemesini yanlış anlamış olacak ki, tüm siparişleri çıtır çıtır getirdi.	FOOD#QUALITY SERVICE#GENERAL
Sevmediğimden yiyemedim kenarlarını, ama ortası pek lezizdi.	FOOD#QUALITY FOOD#STYLE_OPTIONS
Başlangıç için menüde başlangıçlarda yer alan lahmacunun, ana yiyecek pideden daha geç gelecek olması ise ayrı bi durumdu tabii.	SERVICE#GENERAL
Yemek yemek için çok fazla vaktiniz yoksa, bütçeyi çok sarsmayalım, çok keyifli yemek yemesek de olur yeter ki karnımız doysun diye düşünenler için Çarşı'nın göbeğinde Sampi gayet ideal.	FOOD#QUALITY RESTAURANT#PRICES
Servis:	
4 Fiyat:	
5 Mekan:	
8 Lezzet:	
4 sicak iceceklerde servis agir, kahvalti icin tercih edilwbilir olsa da lezzete gore fiyat yuksek kaliyor.	FOOD#QUALITY FOOD#PRICES SERVICE#GENERAL
Mutlaka bir hafta önceden rezarvasyon yaptırın iyi bir rum meyhanesi yemekleri başarılı olduğu gibi şahane bir manzarası var bu mekanın en büyük olayı sürekli ikram yapmalarıdır pahalı olmasına rağmen hak ediyor.	FOOD#QUALITY FOOD#STYLE_OPTIONS AMBIENCE#GENERAL
Mutlaka ızgara mantar ve istakoz kavurma deneyin gittiğim ve hiçbir zaman pişman olmadığım ender yerlerden biridir	RESTAURANT#GENERAL FOOD#QUALITY FOOD#QUALITY
Baliklarin yanina Rum ve ermeni mutfagindan mezelerde pek bir yakisiyor.	FOOD#QUALITY
kuskonmaz somon sarma,kagitta balik pastirma kesinlikle denenmeli.	FOOD#QUALITY FOOD#QUALITY
Burada caylar harika!	DRINKS#QUALITY
Bourbon Vanilla 34 numarali cay.	
Vanilla ve portakal aromasina doyamayacaginiz harika bir lezzet olmus.	FOOD#QUALITY
Ortam muhabbet edebilmek icin gayet guzel fakat manzara beklentiniz var ise baska yeri tercih etmelisiniz.	AMBIENCE#GENERAL AMBIENCE#GENERAL
Tam tamina 60 farkli cesit cay bulabileceginiz bu mekani ziyaret etmelisiniz!	DRINKS#STYLE_OPTIONS
Hoş bi mekan, severek giderim ve ayrılırken de memnuniyetle ayrılırım her zaman.	RESTAURANT#GENERAL
Özellikle akşamları gidilmesini tavsiye ederim, köprünün ve hisarın ışıkları yandığında ayrı bi zevki var.	AMBIENCE#GENERAL
Hemde canlı müzikle :	AMBIENCE#GENERAL
Daha iyisi var.	RESTAURANT#GENERAL
Buranin doneri dedikleri kadar efsane degil.	FOOD#QUALITY
Eti yagli , kokuyor, ince dilinmis ve en kotusu aradan 3 saat gecmesine ragmen migdem bulaniyor.	FOOD#QUALITY FOOD#STYLE_OPTIONS
Ortami da begenmedim kalabalik 3. Sinif bir yer.	AMBIENCE#GENERAL
Bir daha gitmem	RESTAURANT#GENERAL
Eti lezzetli, mekan gösterişli.	AMBIENCE#GENERAL FOOD#QUALITY
Ama sunum resmen sıfır.	SERVICE#GENERAL
30 tl aldığınız hamburger için düz beyaz tabağa koymaktan öteye gidebilirsiniz bence?	FOOD#STYLE_OPTIONS
Havuç dilimi ise aşırı yağlı ve şerbetli.	FOOD#QUALITY
Pek yaratıcı özel bir yanı yok.	RESTAURANT#GENERAL
Pazar günü 14.30'a kadar kahvaltı dışı servis yapmayan Big Chefs!	SERVICE#GENERAL
Kahvaltı sonrası kahve içmeye gittik, kapıdan döndük ve saat 13.30'du, şaka sandım bir an...	SERVICE#GENERAL
Olmadı Big Chefs, zincirsin sen...	RESTAURANT#GENERAL
Leventte ki buyuk alisveris merkezlerinden cok sıkılmış olarak buraya gidelim dedik.	
Ben kofte durum arkadasim tavuk WRAP( menu de meksika mutfagi olarak adlandirilmis bolumde ismi böyle geciyordu biz garson beye tavuk durum diyince garson bey buyuk bi titizlikle onun wrap oldugunu soyledi) istedi.	
Menude yazilmis olmasina ragmen tavuk WRAPimiz patates ile gelmedi nedenini sordugumuz da patatesi kaldirdiklarini menulerini henuz degistirmediklerini soylediler.	FOOD#STYLE_OPTIONS
Gelen tavuk Wrapten 5 dakika sonra biz kofte durum istememize ragmen tavuk sis dürümu geldi durumu soyledik ve degistirdiler.	SERVICE#GENERAL
Tavuklar kupkuruydu, kofte durum ise siradandi.	FOOD#QUALITY FOOD#QUALITY
Ikisininde yanindaki yesillikler sus icin konulmus olup yemeye kalktigimizda aci bi tatla karsilastik.	FOOD#QUALITY
Zeytinyagli tabagi soyledik icinde fasulye, barbunya, biber dolmasi, sarma ve saksuka vardi.	FOOD#STYLE_OPTIONS
Tadlari yerindeydi fakat az koymak icin bayagi bi zorlamislar kendilerini.	FOOD#STYLE_OPTIONS FOOD#QUALITY
Fiyatlar normal, servis cok yavaş, tuvaletler ise pis.	SERVICE#GENERAL RESTAURANT#PRICES AMBIENCE#GENERAL
güzel olan tek sey manzaraydi, evet çocuk oyun alani var bakimsiz servis elemanlari suratsiz, hele omlet yapan bir bayan var ki benim oturdugum masa dibindeydi gelen herkese bir surat bir tavir ben böyle birsey görmedim .	SERVICE#GENERAL SERVICE#GENERAL AMBIENCE#GENERAL
açik büfe kahvaltisi evet çesit çoktu ancak sunum beni tatmin etmedi, temizlik hijyen hissi uyandirmadi.	FOOD#STYLE_OPTIONS FOOD#STYLE_OPTIONS
Hos mekan - Mekan yaklasik 3-4 aydir var Tuzla'da.	RESTAURANT#GENERAL
Gidilebilecek iyi yerlerden birisi.	RESTAURANT#GENERAL
Ilk açildigi ay gittigimizde çok memnun kalmistik ama daha sonraki gidislerimizde servisin çok fazla aksadigina ve garsonlarin yogunluk nedeni ile herkes ile ilgilenememesini gözlemledik.	SERVICE#GENERAL SERVICE#GENERAL
Çok az sayida garson çalisiyor ve bazen mekan dolu olunca yetemiyorlar.	SERVICE#GENERAL
Diger Mado subeleri kadar genis bir menü seçenekleri yok.	
Klasik dondurma spesiyalleri ve tatlililari var.	FOOD#STYLE_OPTIONS
Internetten arastirip gittigim bir yerdi, ancak maalesef beklentilerimi çok karsilamadi.	RESTAURANT#GENERAL
Garsonlar istediginiz seyi en az iki kere istemeden maalesef getirmiyorlar.	SERVICE#GENERAL
Internetteki resimlerinden göründügü kadar güzel degildi.	AMBIENCE#GENERAL
Su böregi ile kahvalti yaptim bugün.	
Su böregi oldukça lezzetli idi.	FOOD#QUALITY
Çay kötü müydü?	DRINKS#QUALITY
Hayir, çok taze ve lezzetliydi.	FOOD#QUALITY
Beklentimin üstündeydi.	RESTAURANT#GENERAL
Her yönüyle ideal - Bizim okula çok yakin oldugu için çok sik gittigimiz bir yerdir ve muhtesemdir zaten manzarasi.	RESTAURANT#GENERAL AMBIENCE#GENERAL
Dügünler falan da yapilir.	
Ama konaklamasi yok diye biliyorum.	
Yazin daha zevkli oluyor manzaraya karsi oturmasi.	AMBIENCE#GENERAL
Marmara ögrencilerine de indirimli fiyat uygulamasi var.	RESTAURANT#PRICES
O yüzden de bizim için avantajli oluyor.	RESTAURANT#PRICES
Gözleme yapan teyzeler de var bu yil, kumpir servisine de basladilar.	FOOD#STYLE_OPTIONS
Kuaförü de çok ucuz ve iyi ayrica.	RESTAURANT#MISCELLANEOUS
Daha ne olsun =)	RESTAURANT#GENERAL
Güzel manzara ancak fiyat performans olarak mutfak yeterli değil.	AMBIENCE#GENERAL FOOD#QUALITY
Bu kadar ünlü olmasını reklama bağlıyorum çünkü çok daha iyi deniz ürünlerini daha uygun fiyatlarla yiyebileceğiniz bir sürü yer var İstanbul'da.	FOOD#PRICES FOOD#QUALITY
Paranız çoksa deneyin ama şart da değil:	RESTAURANT#GENERAL
Döner güzel ok ama giderek daha kalabalik hale hatta sisen restoranda omuz omuza kolunuzu kipirdatamadan feci bir gürültü içinde yemek yemek zorunda kaliyorsunuz.	AMBIENCE#GENERAL FOOD#QUALITY
Sicak bir ortam - Yeri iyi olmasa da, zevkli dösenmis, yemekleri sunum ve tat açisindan tatmin edici, renkli bir mekan.	LOCATION#GENERAL FOOD#STYLE_OPTIONS FOOD#QUALITY AMBIENCE#GENERAL AMBIENCE#GENERAL
Sira bekleme olayi ise çok kötü...	SERVICE#GENERAL
Aci sevmeyenlere uygun bir mekan degil.	RESTAURANT#GENERAL
Manzara muhtesem,ortam güzel ama bir karisik köfte tabagi acili köfteyle geliyorsa,fajita da aciysa bana uygun degil.	AMBIENCE#GENERAL FOOD#QUALITY FOOD#QUALITY AMBIENCE#GENERAL
Sadece meze yiyin.	FOOD#QUALITY FOOD#QUALITY
Her hafta gelmeye çalışıyoruz.	RESTAURANT#GENERAL
Bütün balıkları değişik soslarla pişirip getiriyorlar, siz dur diyene kadar da mezeler gelmeye devam ediyor.	FOOD#STYLE_OPTIONS
Rekorum 9 meze!	
Balığın fast food gibi yenildiği yer.	FOOD#STYLE_OPTIONS
Yavaş yavaş balık keyfi yapmak isterseniz önermem.	FOOD#STYLE_OPTIONS
Servisi çok hızlı.	SERVICE#GENERAL
Mısır ekmeği de sıcacık bayılıyorum.	FOOD#QUALITY
60 çeşit çay, ruh dinlendirici müzikler, keyifli ortam, hayal kırıklığı yaratan Mizuno Pudding ve farklı da olsa alt tarafı çay içmiştim, bu hesap da ne şimdi dedirten bir hesap :	AMBIENCE#GENERAL AMBIENCE#GENERAL FOOD#QUALITY DRINKS#STYLE_OPTIONS DRINKS#PRICES
) Evet aynen böyle olmuştu Dem'de...	
Hem çok keyif almıştım, hem de yok yok bir çay için bu kadar paraya değmez demiştim ve öve öve bitirilmeyen Mizuno Pudding'i beğenmemiştim.	RESTAURANT#GENERAL DRINKS#PRICES FOOD#QUALITY
Pizzalarının methini çok duyup bir türlü gidemediğimiz yerlerden biriydi burası...	
Neden şimdiye kadar gelmemişim dedim.	RESTAURANT#GENERAL
Servisten de oldukça memnun kaldık.	SERVICE#GENERAL
Biz erken saatte gittik ama akşamları romantik bir yemek için oldukça ideal bir mekan...	AMBIENCE#GENERAL
Hangi gün hangi saat gidilse kalabalıktan kurtulmak mümkün değil.	AMBIENCE#GENERAL
Çoluğu çocuğu toplayan ev hanımları grupları mekana olan ilgiyi azaltıyor.	AMBIENCE#GENERAL
Garsonlar iyi.	SERVICE#GENERAL
Ürünlerin lezzeti diğer Sütiş'lerle aynı.	
Ansiklopedi kalinliginda menuyu getirip siparisinizi vermek istediginizde o yok, bu uok,su kalmadi seklinde ifadelerle birturlu istediginiz tatliyi yiyemediginiz mekan isletmecisine konuyu ilettiginizde yapacak birseyleri olmadigini buyuk rahatlikla dile getiren , garsonlarinin sattiklari urunden haberdar olmayip isteklerinizi yerine gec veya yanlis getirmeleride cabasi.	SERVICE#GENERAL SERVICE#GENERAL FOOD#STYLE_OPTIONS
Kesinlikle tavsiye etmiyorum.	RESTAURANT#GENERAL
Diğer şubesinin efsaneleşen hikayelerinin ardından defalarca hep belirli sebeplerle geldiğimiz Eleos bence cidden abartılıyor.	RESTAURANT#GENERAL
Yeşilköy şubesini bilemem ama burası standart üzerinde yine de o fiyatlar bence çok saçma.	RESTAURANT#PRICES
Ayrıca fix menü zorlaması gibi en sinir bozucu uygulamayı burada normalleştirmiş durumdalar.	FOOD#STYLE_OPTIONS
Mezeler de vasatın üzerinde.	FOOD#QUALITY
Balkon/teras bölümü de cidden çok küçük.	AMBIENCE#GENERAL
Yine de Asmalımescit bölgesindeki meyhanelere göre daha fazla tercih edilir bir mekan.	
Her zaman gittigim ve servisi her zaman igrenc olan bu mekan artiik iyice rezalet sinirlarini zorlamis.	SERVICE#GENERAL RESTAURANT#GENERAL
Mekanin isletmecisi beyin tavri tarzi konusmasi uslubu ve terbiyesi yerlerde.	SERVICE#GENERAL SERVICE#GENERAL
Mekanin populerligi yuzunden rahatlar sanirim ama bu rahatlikla populerligi kisa surede kaybederler.	RESTAURANT#GENERAL
Istanbulda tek manzara goren yer olmamakla beraber yemekleride son derece lezzetsiz.	AMBIENCE#GENERAL FOOD#QUALITY
Zaten bu saatten sonra sultan sofrasida kursa o isletmeciyle bu mekana bir daha adimimi atmam.	SERVICE#GENERAL
Yemekler super lezzetli, ogle yemeginde cok kalabalik ama saat 2 sonrasinda rahat.	FOOD#QUALITY AMBIENCE#GENERAL
Bir tabaga 5 farkli cesit isteyebilirsiniz, ozellikle bugday salatasi ve havuc salatasi muhtesem mutlaka deneyin	FOOD#QUALITY FOOD#QUALITY
Istanbulda baklavanın adresi.	FOOD#QUALITY
Karaköyden, Eminönünden geçerken uğramalısınız.	RESTAURANT#GENERAL
Sadece baklava değil karışık tabak yaptırın.	FOOD#QUALITY
Çikolatalı baklavayıda özellikle bayanlara tavsiye ederim	FOOD#QUALITY
yurtdisindan gelen misafirlerimi memnun etmesiyle,manzarasiyla ve tabii ki meze ve yemekleriyle begenimi kazanmis oldu gelinir tadilir calan muzikler guzel ayari sohbetle hos bir fon oluyor.	AMBIENCE#GENERAL FOOD#QUALITY AMBIENCE#GENERAL
Burayi seviyorum gerçekten.	RESTAURANT#GENERAL
ortaya karisik söylerseniz herseyin tadina bakabilirsiniz.	
Hersey lezzetli statüsüne çok yakin.	FOOD#QUALITY
Keyifli vakit geçirirsiniz emin olun.	RESTAURANT#GENERAL
Bira dışında başka bir şey içmenizi istemeyen mekan, bira 7,8 lira iken votka 25, şarap 17.5...	DRINKS#PRICES DRINKS#PRICES
Onun dışında, belirli bir saatten sonra müzik sağır edici seviyeye ulaşmakta.	AMBIENCE#GENERAL
Balıklarından daha çok kendine has mezeleriyle ön plana çıkmış Alkolsüz bir Balıkçı .	FOOD#STYLE_OPTIONS
mezeleri gerçekten standartların üzerinde mekan neredeyse her gün akşam saatlerinde yoğun oluyor .	FOOD#QUALITY
bunun haricinde çalışanların ilgiside gayet iyi	SERVICE#GENERAL
Tam bir hayal kırıklığı.	RESTAURANT#GENERAL
Combo tabağı hayalleriyle gittik ve şaka gibi içinde iki üç parça olan çok lezzetsiz bir tabak geldi.	FOOD#QUALITY
Hamburgerleri vasat.	FOOD#QUALITY
Çok çok kötü	RESTAURANT#GENERAL
Sütiştir dedik kahvaltı yapalım dedik pişman olduk valla.	RESTAURANT#GENERAL
Porsiyonları çok küçük fiyatlar çok Pahalı.	FOOD#STYLE_OPTIONS AMBIENCE#GENERAL
Garsonlar ilgisiz çayları kötü.	SERVICE#GENERAL DRINKS#QUALITY
Arada bir belki tatlı yemeye gidilebilir.	FOOD#QUALITY
O da manzarası için.	AMBIENCE#GENERAL
Egzotik çayları seviyorsanız mutlaka uğramanız gereken bir mekan.	DRINKS#STYLE_OPTIONS
Bourbon vanilla ve Irish Malt tavsiye ettiğim çaylar arasında.	DRINKS#QUALITY DRINKS#QUALITY
Servis kaliteli, çalışanları ise inanılmaz ilgili.	SERVICE#GENERAL SERVICE#GENERAL
Sevdiğiniz çayların bazılarını paket olarak satın alabiliyorsunuz da.	DRINKS#STYLE_OPTIONS
Mekandaki müzik seçimleri de harika.	AMBIENCE#GENERAL
Bazen inanılmaz kalabalık olabiliyor haliyle öyle günlerde serviste aksaklıklar yaşanabiliyor.	SERVICE#GENERAL
Mekan güzel ferah.	AMBIENCE#GENERAL
Servis çok hızlı.	SERVICE#GENERAL
Çok fazla çeşit var.	FOOD#STYLE_OPTIONS
Bazı çeşitler kebapla çok alakasız olabiliyor.	FOOD#STYLE_OPTIONS
Fiyatları makul.	RESTAURANT#PRICES
Yemekler lezzetli	FOOD#QUALITY
Manzara güzel,yemekler güzel ama servis berbat.	SERVICE#GENERAL FOOD#QUALITY AMBIENCE#GENERAL
Bir defa demlik çay içmek istedik musluk suyu ile yapmışlar küf kokuyordu.	DRINKS#QUALITY
Sonra değiştirip damacana suyu ile yaptılar.	
Kısacası berbat.	RESTAURANT#GENERAL
Sahura arkadaslarla gittik.	
Açik büfe sahurdu.	
Mekani çok güzel, çesitler inanilmaz derecede bol ve lezzetli.	FOOD#QUALITY AMBIENCE#GENERAL FOOD#STYLE_OPTIONS
servisi gayet iyi.	SERVICE#GENERAL
Tesis, Fethi Pasa korulugunun içinde yer aliyor.	LOCATION#GENERAL
Etler kalitesi ortalama.	FOOD#QUALITY
Lezzet ortalama.	FOOD#QUALITY
Neyle kıyaslanarak çok beğenildiğini merak ediyorum açıkçası.	RESTAURANT#GENERAL
Mekan güzel.	RESTAURANT#GENERAL
Bu et bu parayı asla hak etmiyor.	FOOD#QUALITY FOOD#PRICES
Nasıl ve neden bilmiyorum Florya Şazeli'de etin daha lezzetli olduğu söyleniyor.	
Oraya da gidip tadacağım.	
Kuru fasulye için gidilir.	FOOD#QUALITY
Güzel yapıyorlar.	FOOD#QUALITY
Pilav, ayran eşliğinde iyi bir menü.	FOOD#QUALITY
Ama servis konusunda personelinden memnun değilim, bu konuda kendilerini inş.	SERVICE#GENERAL
değiştirirler	
Mart ayinin son gunu bugun berbatti burasi.	RESTAURANT#GENERAL
Kahvaltiliklar geldi cay yok gelen menemen bozuk domatesten,kokusu tadi yenecek gibi degil, yan masada surekli onu istemistik biz gelmedi diyip durdu bizim gibi.	FOOD#QUALITY FOOD#QUALITY FOOD#STYLE_OPTIONS
Normalde sevdigim bir kahvalticiydi bgn ne yedigimi anladim ne bisi!	FOOD#QUALITY
Nereye gitsek kararsızlığına düşmek üzereyken kurtarıcı olan mekandır Kütük Ev.	RESTAURANT#GENERAL
İçeriden ve dışarıdan tamamen bir dağ evini andırmasıyla egzotik bir havaya sahip olan mekanda servis nispeten hızlı, fiyatlar pahalı değil, bahçesi güzel.	AMBIENCE#GENERAL AMBIENCE#GENERAL RESTAURANT#PRICES SERVICE#GENERAL
Kışın daha çok tercih edilebilecek bir yer ama yazın da gidilir gidilmesine.	RESTAURANT#GENERAL
Sunduklari lezzetleri ve gösterdikleri ilgi ile Küçük Ev sayesinde güzel bir aksam geçirdik.	FOOD#QUALITY RESTAURANT#GENERAL SERVICE#GENERAL
Ardindan en çok begendigim ise döner oldu.	FOOD#QUALITY
Gayet lezzetliydi.	FOOD#QUALITY
Bence buraya yolunuz düserse dönerini ve kavurmali pidesini kesinlik denemenizi öneririm.	FOOD#QUALITY
Diger yediklerimizide begendim hepsi güzellerdi.	FOOD#QUALITY
Kendi üretimleri manda yogurtlarinida denemenizde fayda var.	FOOD#QUALITY
Tatlilardan ise en çok kazandibini ve kaymakli ayva tatlisini begendim.	FOOD#QUALITY FOOD#QUALITY
Fiyatlar ise sunulan hizmet, kalite ve merkezi konumundan dolayi uygun sayilir.	RESTAURANT#PRICES LOCATION#GENERAL SERVICE#GENERAL
Son resimde menü içerigini görebilirsiniz.	
Öncelikle ortamini çok begendim.	AMBIENCE#GENERAL
Güzel, sik ve ferah bir ortami var.	AMBIENCE#GENERAL
Özellikle restorantin tam ortasindaki agaç çok hosuma gitti.	AMBIENCE#GENERAL
Bence asla kesilmemesi lazim.	
O agaci korumak için gösterdiginiz çaba kesinlikle isletmenizin sayginligini fazlasiyla arttiracaktir.	AMBIENCE#GENERAL
Hazir ürünlerden çok yöresel ve kendi üretimleri ürünleri kullaniyor oluslari çok hosuma gitti.	FOOD#STYLE_OPTIONS
Trabzon ve Rizeden gelen kavurmalar ile yapilan kasarli ve kavurmali pide beni benden aldi.	FOOD#QUALITY
Harikaydi...	RESTAURANT#GENERAL
Umdugumu degil buldugumu yedim - Arkadaslarim çok övdü, geldim yedim bitiremedim.	FOOD#QUALITY
Yani güzel degildi.	FOOD#QUALITY
Damak tadima hitap edemedi açikçasi.	FOOD#QUALITY
Biberler kizartilmadan atilmis içine.	FOOD#QUALITY
Bol yumurtali ve birkaç parça domates atilmis içine.	FOOD#QUALITY
Adeta menemen degil biberli omlet olmus gibi.	FOOD#QUALITY
Açik ayrani fena degildi.	DRINKS#QUALITY
